id,user_id,text,retweet_count,posted_at,cluster
32,18,RT @Venezuelienne09: Para pac. #Caracas SOLICITAN ENALAPRIL 20 mg @fundatiacruz @ACLAVE @sebuscasedona @BuscandoMedicin @Cotufa55 @LocatelV??_,11,2017-03-16 18:43:51 +0000,2
81,18,RT @helenyperez: Buen d?_a para m?_ abuela (fracturada) requerimos: Clexane o Enoparin. Es de uso hospitalario @NotiPromar @ACLAVE,6,2017-03-15 12:15:51 +0000,2
88,18,RT @AnonMundial: #SOSMedicinasNOHAY #Guerrera 46 A LIZ CORRALES le urge_?__BLEOMICINA_?__hace un mes que no encuentra medicina #SolucionYA @Ser??_,149,2017-03-14 23:47:28 +0000,2
109,18,RT @JanethPinto2: Sin medicamento para tratar mi epilepsia componente (??cido valproico 500mg) 100% Venezuela,172,2017-03-14 19:17:04 +0000,2
114,18,RT @AnonMundial: ??????????Seguimos buscando para Leithan 6 CITARABINAS L??????QUIDAS cualquier #referencia o #donacion avisar a @LeithanGuerra Gracias??_,45,2017-03-14 17:49:29 +0000,2
129,18,RT @mario_villegas: Me urge adquirir para un familiar inmediato QUETIAPINA de 300 mg y SERTRALINA de 100 mg. Agradecer?? infinitamente a qui??_,1032,2017-03-14 13:49:42 +0000,2
168,18,"RT @Bendeci00244128: En San Crist?_bal se me necesita ??cido valproico 500 mg. @ACLAVE @fundatiacruz @FundacionBADAN  gracias, DTB https://t.??_",2,2017-03-13 18:43:40 +0000,2
184,18,RT @AnonMundial: ?_?#SERVICIOPUBLICO?_?_???????#CaracasPara _??__???????Adolecente le urge  ABRETIA 40 mg o STRATTERA _???_???????Cualquier #Referencia o #Donacion Cont??_,98,2017-03-12 17:15:34 +0000,2
219,18,RT @CarJFar: @NotiPromar #ServicioP?_blico Se solicita Ciprofloxacina de 500 mg. Favor comunicarse al 0416-8565245 @ACLAVE @Maryibi @fundasp??_,5,2017-03-11 01:09:30 +0000,2
267,18,RT @AnonMundial: ?_?#SERVICIOPUBLICO?_?_???????#CaracasPara paciente le urge RITUXIMAB (mabthera)_???_???????Contacto: @urrito58 https://t.co/Sdc31PG6pj,131,2017-03-10 14:50:30 +0000,2
303,18,RT @AnonMundial: ?_?#SERVICIOPUBLICO?_?_???????#ValenciaPara una _??__???????ni??a le urge VALPRON o AC. VALPROICO en suspensi?_n _???_???????CONTACTO: @antoniofuentes ht??_,405,2017-03-08 13:52:58 +0000,2
311,18,RT @myteks: #urgenteServicio PublicoMedicamento: Zanidip 10 MGtipo de paciente: Paciente renalnombre: Susana Mujica#Barquisimetotlf 0??_,227,2017-03-08 01:11:35 +0000,2
