id,user_id,text,retweet_count,posted_at,cluster
11,18,RT @AnonMundial: _???17/03 Disponible en #Donaci?_n DOCETAXEL 80 mg _??_02129503200 contacto_???_?íÂ? @SAnticancerosa _???#Caracas https://t.co/8NWMfr5Xu0,42,2017-03-17 20:16:14 +0000,1
39,18,"RT @FundacionBADAN: @LeithanGuerra Buenos D?_as   Disponible Trileptal Presentar r??cipe,informe,c.i del paciente . Sucursal Los Cortijos",3,2017-03-16 14:43:54 +0000,1
41,18,"RT @LocatelVzla_ATC: Hola @mumy77 MONTELUKAST G.V. COMP. MAST. 5 MG, en Locatel Caricuao, Verificar disponibilidad con el establecimiento a??_",4,2017-03-16 14:46:20 +0000,1
59,18,"#RedInterdonadores, disponible para donaci?_n  en nuestra sede Enema rectal para adulto, oxacilina ampolla 1gr, vit C ampolla.",2,2017-03-15 20:01:09 +0000,1
82,18,RT @EMCR89: Disponible euglucon para donar... dispongo de varias cantidades SOLO PARA PERSONAS QUE LA NECESITEN. @ACLAVE @1granitodeamor @D??_,5,2017-03-15 15:30:49 +0000,1
85,18,RT @fundacolibrive: Para donar ampicilina tableta x 500 mg . Debe enviar recipe Cedula por mensaje privado. Para??_ https://t.co/NuMoha3xBy,32,2017-03-15 01:23:55 +0000,1
87,18,@Egi_GimenezM te sirve oxacilina amp 1 mg? avisa,2,2017-03-15 00:52:09 +0000,1
106,18,"RT @fundatiacruz: CLONAC 0.5 MG CON RECIPE  --> FARMACIA LA LUZ, C.A. Av. 190 a cuadra y media de la Av. Universidad Tarapio Naguanagua Tel??_",37,2017-03-14 19:17:36 +0000,1
132,18,RT @aleidabaez: https://t.co/ItqqoGulIm #Donan 3 pastillas de aldactone. @fundatiacruz @zizou7310 @ACLAVE,15,2017-03-14 13:50:54 +0000,1
155,18,RT @mauxibe: Disponible para donar sulfato de hidroxicloroquina 200mg y ?Š__’_cido Ursodesoxic?_lico 150mg @fundacolibrive @venezolanoenpie @ACLA??_,47,2017-03-13 19:31:45 +0000,1
166,18,"RT @Flavioalexandro: X favor solicito para mi abuela hidroclorotiazida d 25 o 12,5 mg c los  agradecrIa @DonaMed_VE @FundLasDanielas @sebus??_",2,2017-03-13 18:44:13 +0000,1
203,18,"RT @mauxibe: Disponible para donar Ditropan, Oxibutinina hidrocloruro @fundacolibrive @venezolanoenpie @DLaraF @DrSergioK @ACLAVE https://t??_",16,2017-03-11 17:06:33 +0000,1
206,18,RT @Donatumed: @EMCR89 @Oropeza_Mari @ACLAVE @ServicioPubliVE TEGRETOL LC 400MG GRAG. @Farmaplus_ve  Av. Espa??a - Perez Bonalde _??_212) 870.2??_,11,2017-03-11 16:31:00 +0000,1
227,18,RT @SAnticancerosa: Tenemos medicamentos #Expogen  para donar si los necesitas o sabes de alguien que lo requiera comun?_cate con nosotros a??_,83,2017-03-10 23:12:05 +0000,1
228,18,RT @SAnticancerosa: Tenemos medicamentos #Lasix  (Furosemida) (20 mg) para donar si los necesitas o sabes de alguien que lo requiera... htt??_,104,2017-03-10 23:11:45 +0000,1
231,18,RT @SAnticancerosa: Tenemos medicamentos #Cytosar (500mg) Citabarina enpolvo) para donar si los necesitas o sabes de alguien que lo... http??_,87,2017-03-10 23:11:30 +0000,1
251,18,RT @aleidabaez: Disponibilidad de losartan.concor y alpram en fundafarmacia. #lara. @fundatiacruz @ACLAVE @zizou7310 @laventanita_vzl,21,2017-03-10 19:18:11 +0000,1
315,18,RT @AnonMundial: ?_?#SERVICIOPUBLICO?_?Disponible en #Donacion CEFTRIAXONA de 1g #Caracas interesados escribir ninosconalasdefe@Hotmail.com ht??_,304,2017-03-07 21:54:22 +0000,1
331,18,RT @FarmaciaPasLara: Tenemos disponible Trileptal 300 y tegretol suspensi?_n,64,2017-03-07 17:20:45 +0000,1
373,18,"RT @Donatumed: @RG_3155 @Soypinturera @ACLAVE @DonaMed_VE Pregabalina ...llamar y validar Boqtiqueria24hrs...Maracaibo ,env?_os a nivel naci??_",7,2017-03-05 23:21:44 +0000,1
377,18,RT @AnonMundial: ?_?#SERVICIOPUBLICO?_?Disponible en #Donacion RECORMON (inyectadora para ERITROPOYETINA) #Caracas_??_02129503200 https://t.co/j??_,50,2017-03-05 18:01:45 +0000,1
381,18,RT @Soypinturera: @ermelcm TRAMAL 5 marzo_???confirme x??_ @DonaMed_VE @ACLAVE @Donatumed @AnonMundial https://t.co/8wbe452uBW,2,2017-03-05 17:12:51 +0000,1
387,18,RT @Soypinturera: LAMICTAL p. activo LAMOTRIGINA 5 marzo_???confirme x??_@norma_azuaje @Mary_Vzlna @Anticonvulsivos @ACLAVE @DonaMed_VE @Donatum??_,25,2017-03-05 16:03:08 +0000,1
388,18,RT @Soypinturera: TEGRETOL p. activo  CARBAMAZEPINA 5 marzo_???confirme x??_@norma_azuaje @Mary_Vzlna @Anticonvulsivos @ACLAVE @DonaMed_VE @Dona??_,8,2017-03-05 16:02:56 +0000,1
427,18,"RT @Soypinturera: TEGRETOL, principio activo Carbamazepina_???confirme x??_ @ACLAVE @DonaMed_VE @Donatumed @Anticonvulsivos https://t.co/BW2XGti??_",34,2017-03-03 14:43:05 +0000,1
442,18,RT @spvzla: #ServicioP?_blico en #Donaci?_n Decobel (Dexametasona) ampolla vence el mes pr?_ximo. El Blokiuret en julio 2019 #Caracas https://??_,44,2017-03-02 20:58:30 +0000,1
454,18,RT @fundatiacruz: EPAMIN Y FENOBARBITAL DISPONIBLE EN FUNDACION BADAN DE LECHERIAS #DatosDeLaGente,136,2017-03-02 13:12:14 +0000,1
486,18,RT @aleidabaez: En la farmacia caja de agua. #lara. glucofage de 500mgXR. @AnonMundial @zizou7310 @ACLAVE,23,2017-02-28 16:37:20 +0000,1
503,18,RT @MayorPioPio: A quien pueda interesar y que lo este necesitando LENTOCILIN 6.3.3 tengo 6 unidades sin costo alguno. https://t.co/EIOaL2R??_,235,2017-02-27 18:36:14 +0000,1
