id,lenght,retweet_count,hashtags,mentions,contains_url,demand_words,offer_words,neg_words,pos_words,n_known_medicines,cluster
11.0,154.0,42.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0
39.0,137.0,3.0,0.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0
41.0,142.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
59.0,126.0,2.0,1.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,1.0
82.0,142.0,5.0,0.0,4.0,0.0,1.0,3.0,4.0,1.0,0.0,1.0
85.0,139.0,32.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0
87.0,48.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
106.0,142.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
132.0,105.0,15.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
155.0,148.0,47.0,0.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
166.0,142.0,2.0,0.0,4.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0
203.0,142.0,16.0,0.0,6.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0
206.0,146.0,11.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
227.0,143.0,83.0,1.0,1.0,0.0,2.0,3.0,5.0,0.0,0.0,1.0
228.0,142.0,104.0,1.0,1.0,0.0,2.0,3.0,4.0,0.0,1.0,1.0
231.0,142.0,87.0,1.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,1.0
251.0,133.0,21.0,1.0,5.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0
315.0,145.0,304.0,3.0,2.0,0.0,0.0,2.0,5.0,3.0,1.0,1.0
331.0,76.0,64.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0
373.0,143.0,7.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0
377.0,147.0,50.0,3.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0
381.0,126.0,2.0,0.0,6.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0
387.0,147.0,25.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0
388.0,147.0,8.0,0.0,7.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0
427.0,147.0,34.0,0.0,5.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0
442.0,145.0,44.0,3.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0
454.0,98.0,136.0,1.0,1.0,0.0,0.0,1.0,4.0,3.0,3.0,1.0
486.0,105.0,23.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
