id,user_id,cluster,text,retweet_count,posted_at
4,18,0,agradecidos con la donaci?_n de meds de  @mauxibe  pues es con  ACCIONES  que podemos mejorar las cosas...,2,2017-03-17 21:11:55 +0000
6,18,0,Hoy sabado y manana domingo 19 estamos en el cc Trinitarias con la primera expoventa de productos logrados en el... https://t.co/2mynD5cPVz,1,2017-03-18 17:05:35 +0000
13,18,0,"RT @palindromica: Quincena de una colega, jefe de servicio, especialista uno! Hospital Central de Maracay. Adem??s es docente. @nahunmilano??_",32,2017-03-17 20:15:42 +0000
15,18,0,RT @aleidabaez: @zizou7310 @aconvida16 @fundatiacruz @FundLasDanielas @SacudeteMaracay @DonaMed_VE @laventanita_vzl @ACLAVE https://t.co/0a??_,13,2017-03-17 15:41:17 +0000
19,18,0,@ernesto_granda en Farmacia San Roque Acarigua hab?_a hace dos d?_as confirme por telf si a?_n les queda,0,2017-03-16 19:57:42 +0000
25,18,0,@medicosxlasalud @Bendeci00244128  en facebook la MUD se adjudica su infograf?_a...pilas p?_nganle el autor,0,2017-03-16 19:24:57 +0000
30,18,0,"RT @estebangerbasi: Los Diputados de Pj que hicieron la propuesta para frenar la CDI fueron Jos?? Gregorio Correa ""alias Timoteito"" y Mirial??_",677,2017-03-16 19:11:07 +0000
30,18,0,"RT @estebangerbasi: Los Diputados de Pj que hicieron la propuesta para frenar la CDI fueron Jos?? Gregorio Correa ""alias Timoteito"" y Mirial??_",677,2017-03-16 19:11:07 +0000
36,18,0,RT @Pura_Miel: ?ù_??è #ServicioP?_blico #Urgente #HospitalJMDeLosRios los #NI??OS necesitan d nuestra #Colaboraci?_n #Venezuela tu puedes VIA_???@esa??_,68,2017-03-16 14:53:07 +0000
37,18,0,RT @medicosxlasalud: https://t.co/KUZiKIW7cm,50,2017-03-16 14:53:57 +0000
38,18,0,"RT @AnonMundial: _??,_?????èarticipa el #25M d la 3era #CaravanaDeAmor donde @arepita_feliz llevar?? alimentos a los m??s necesitados. #Unete #Auspic??_",57,2017-03-16 14:52:40 +0000
42,18,0,"RT @AFPespanol: Nicol??s Maduro, Kim Jong-Un y Donald Trump, reunidos hoy como ninots en las Fallas de Valencia #AFP https://t.co/kt1fLbSGQ2",136,2017-03-16 14:51:43 +0000
43,18,0,RT @ccltrinitarias: ??MA??ANA! Recuerda que tendremos a @Jeremiasmundial en nuestra Tarima Central ??Ac??rcate! Es gratis _???_???_??? https://t.co/AicD??_,11,2017-03-16 14:41:16 +0000
52,18,0,4121...y suicidio por falta medicinas nro 23,4,2017-03-15 20:15:59 +0000
54,18,0,"RT @Mibelis: Una muchacha,una profesional de 22 a??os q ya no encontr?_ medicinas para tratar su desequilibrio neuroqu?_mico,se suicida.Genoc??_",51,2017-03-15 20:14:59 +0000
58,18,0,RT @Azabacheonline: @venezolanoskendall #19Marzo  recolecci?_n #alimentos #medicinas #VenezuelaTeNecesita https://t.co/Rg9yz91OAf @MariaConc??_,58,2017-03-15 19:44:43 +0000
61,18,0,una amiga propuso terapia de grupo para los que NOS QUEDAMOS EN VZLA y cada 5 min nos preguntan...yo te hacia ido...PUES NO. yo ME QUEDO,1,2017-03-15 19:43:49 +0000
63,18,0,_?_? Se agradece el apoyo de los panas de @EstacionRockON,1,2017-03-15 19:35:50 +0000
64,18,0,RT @pareja_andreye: Disponible para valencia @AnonMundial @fundatiacruz https://t.co/EJ4LUpVkwi,37,2017-03-15 19:39:48 +0000
65,18,0,@nininmontilla @GuselchePereyra Hasta cu??ndo hay que calarse esta desgracia que vivimos! #BastaYa,0,2017-03-15 19:24:28 +0000
70,18,0,El mejor programa para tu publicidad con estilo y buena m?_sica @EstacionRockON,1,2017-03-15 19:19:57 +0000
73,18,0,Lamentable lo de @plomoparejo  ap?_yenlo en lo que necesite y piensen que pudimos ser cualquiera de nosotros...,2,2017-03-15 18:58:13 +0000
75,18,0,"@plomoparejo esperamos nada muy grave en sus heridas,  ??placa y modelo del carro?",7,2017-03-15 18:54:29 +0000
77,18,0,@jesuscasique1 aqui https://t.co/IZmORJkGRt,0,2017-03-15 16:02:40 +0000
79,18,0,@yajairaguzman60 @LocatelVzla @Farmatodo @Farmahorrove @Farmaplus_ve @Donatumed aqui https://t.co/IZmORJkGRt,0,2017-03-15 16:02:26 +0000
80,18,0,??Ayuda! Dona a Help ASD kids in Venezuela - Ayuda Autismo Vzla https://t.co/FqQB0u4p22. Recauda fondos en @generosity,10,2017-03-15 15:26:28 +0000
80,18,0,??Ayuda! Dona a Help ASD kids in Venezuela - Ayuda Autismo Vzla https://t.co/FqQB0u4p22. Recauda fondos en @generosity,10,2017-03-15 15:26:28 +0000
89,18,0,"Si ud es PSUV, aunque lo oculte, ser?? bloqueado por ser c?_mplice en la muerte de 4120 personas por falta medicinas en Venezuela desde 2014",8,2017-03-15 01:12:34 +0000
90,18,0,llegando a casa a derretir hielo pues NO HAY AGUA por la ineficiencia de @HidrolaraCA que aumento 400% su costo en un A??O.. PROGRESISMO PURO,2,2017-03-14 23:44:40 +0000
90,18,0,llegando a casa a derretir hielo pues NO HAY AGUA por la ineficiencia de @HidrolaraCA que aumento 400% su costo en un A??O.. PROGRESISMO PURO,2,2017-03-14 23:44:40 +0000
100,18,0,RT @Almagro_OEA2015: Los hechos no dejan lugar a dudas. #Venezuela viola todos los art?_culos de la Carta Democr??tica #InformeOEAVzla https:??_,5345,2017-03-14 22:08:36 +0000
107,18,0,"@yajairaguzman60 @LocatelVzla @Farmatodo @Farmahorrove @Farmaplus_ve @Donatumed Farmabien Falc?_n, M??rida y Maracaibo...es lo que hay me temo",1,2017-03-14 19:14:12 +0000
107,18,0,"@yajairaguzman60 @LocatelVzla @Farmatodo @Farmahorrove @Farmaplus_ve @Donatumed Farmabien Falc?_n, M??rida y Maracaibo...es lo que hay me temo",1,2017-03-14 19:14:12 +0000
112,18,0,"A quien corresponda...entre las p??ginas de liceistas buscando ""chicas"" para trabajar y esto...#LaraProgresista https://t.co/cYsG14LZIY",6,2017-03-14 18:28:49 +0000
116,18,0,RT @Farma_Santuario: Tenemos gran variedad de ampollas para uso hospitalario. Conoce disponibilidad y precios llamando al 04247267207 @sebu??_,10,2017-03-14 15:38:32 +0000
117,18,0,@ResistenciaV58 @mabesaor 700 grs por hab de Vzla...,0,2017-03-14 15:11:19 +0000
122,18,0,@alexiscorreia @NENENAPICA att @DonanteSangreVE,0,2017-03-14 14:39:50 +0000
123,18,0,"Ese genocidio ""silencioso"" del que todos hablan a nosotros  nos grita pidiendo ayuda antes de pasar a silencio y el eco NUNCA se acaba",2,2017-03-14 14:22:04 +0000
124,18,0,"RT @LEANDROADI4Z: Se??ores de la OEA, en Vzla_???_??? hay un genocidio silencioso por falta de medicinas, Maduro no vende $ a importadores #Almagr??_",99,2017-03-14 14:20:05 +0000
131,18,0,@evelingq @DonaMed_VE @farma_sagrado ayuda mucho indicar ciudad...,0,2017-03-14 12:56:09 +0000
133,18,0,"@DraCarlaC ayuda dar VARIOS r??cipes al paciente, as?_ si consiguen una cajita no se quedan sin r??cipe",0,2017-03-14 12:59:53 +0000
134,18,0,RT @evelingq: @DonaMed_VE @ACLAVE @farma_sagrado https://t.co/c4JumNhG0J,21,2017-03-14 12:55:47 +0000
135,18,0,"RT @DraCarlaC: Para los m??dicos es dif?_cil hacer una prescripci?_n, para los pacientes es un viacrucis conseguirlos...",5,2017-03-14 12:58:53 +0000
139,18,0,RT @Bendeci00244128: @ACLAVE @DonaMed_VE @locatel @SEFARoficial @fundatiacruz @FundacionBADAN https://t.co/wZLQgKI6T3,16,2017-03-14 02:53:23 +0000
140,18,0,RT @Pura_Miel: _??√® #ServicioP?_blico #Urgente #M??rida VIA_???@galanmagabeth AyudandoVzla @DonaMed_VE Paciente Hipertenso necesita #Ayuda #Ubicar??_,99,2017-03-14 03:52:03 +0000
140,18,0,RT @Pura_Miel: _??è #ServicioP?_blico #Urgente #M??rida VIA_???@galanmagabeth AyudandoVzla @DonaMed_VE Paciente Hipertenso necesita #Ayuda #Ubicar??_,99,2017-03-14 03:52:03 +0000
141,18,0,RT @zizou7310: P/amigo @yeissonrivero #ccs necesita/ gracias @AccionSolidaria @SanandoVE @AndresDuran_3D @ACLAVE @DonamosVida_ @stefanelli_??_,2,2017-03-14 02:56:22 +0000
142,18,0,RT @fundacolibrive: Para donar . Recipe Cedula y su informe por esta v?_a. https://t.co/V0rH8jJzV2,6,2017-03-14 02:51:06 +0000
