id,lenght,retweet_count,hashtags,mentions,contains_url,demand_words,offer_words,tfidf_demand,tfidf_offer,neg_words,pos_words,n_known_medicines,cluster
4.0,106.0,2.0,0.0,1.0,0.0,1.0,1.0,0.07786342754808066,0.089120618340239,0.0,5.0,0.0,0.0
6.0,139.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09191306438156648,4.0,2.0,0.0,0.0
13.0,142.0,32.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
15.0,142.0,13.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,104.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.1737257920179059,3.0,0.0,0.0,0.0
25.0,107.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
30.0,143.0,677.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
30.0,143.0,677.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
36.0,154.0,68.0,5.0,2.0,0.0,2.0,1.0,0.15939681096488215,0.08484282865990753,4.0,1.0,0.0,0.0
37.0,44.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,153.0,57.0,4.0,2.0,0.0,2.0,1.0,0.15721988881343524,0.08484282865990753,2.0,4.0,0.0,0.0
42.0,140.0,136.0,1.0,1.0,1.0,0.0,1.0,0.0,0.089120618340239,5.0,2.0,0.0,0.0
43.0,155.0,11.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
52.0,44.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
54.0,144.0,51.0,0.0,1.0,0.0,1.0,0.0,0.07786342754808066,0.0,7.0,3.0,0.0,0.0
58.0,143.0,58.0,3.0,3.0,1.0,1.0,1.0,0.07898744028171438,0.08484282865990753,2.0,1.0,0.0,0.0
61.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
63.0,57.0,1.0,0.0,1.0,0.0,1.0,0.0,0.07786342754808066,0.0,1.0,2.0,0.0,0.0
